name,image,description,prep_time,cook_time,total_time,servings_number,servings_unit,course,cuisine,diet,ingredients,instructions,nutrition
7 Cups Sweet | 7 Cup Burfi Recipe,https://www.vegrecipesofindia.com/wp-content/uploads/2017/01/7-cup-barfi-recipe-1a-280x280.jpg,"7 Cup Burfi recipe is an easy and delicious South Indian sweet made with 7 measures or 7 cups of ingredients which are gram flour, ghee, fresh coconut, milk and sugar. This fudge like sweet is also known as 7 cup cake or 7 cups sweet.",5minutes,25minutes,30minutes,4.0,,Sweets,"South Indian, Tamil Nadu",Vegetarian,▢ ½ cup besan (gram flour) or 50 grams ▢ ½ cup fresh coconut or 35 grams fresh coconut▢ ½ cup Ghee or 100 to 110 grams ghee (clarified butter)▢ ½ cup milk▢ 1.25 cups sugar or 200 to 210 grams sugar▢ ½ teaspoon cardamom powder,"PreparationTake all the ingredients and keep them ready – besan, grated coconut, milk, ghee and sugar. Instead of 1.25 cup sugar, you can use 1 cup sugar. Grease a tray or a pan with some ghee.Roasting gram flourHeat a heavy iron kadai or pan. Keep the heat to a low and add besan or gram flour.Stir often and roast the besan for 3 to 4 minutes or till you get a nice nutty aroma from it.Do not brown the besan. Also stir continuously while roasting besan.Making 7 cup burfiOnce the besan becomes aromatic, then add fresh coconut, ghee and milk.Mix very well.Then add sugar and cardamom powder.Mix again very well and stir so that the sugar dissolves. The mixture will also become liquid like.Keep on stirring and cooking on a low heat.The mixture will begin to thicken and reduce.Continue to cook and stir till the mixture leaves the sides of the pan. While stirring also scrape the bottom of the kadai and the sides. If you do not scrape, then the mixture starts sticking and gets browned or burnt. So you have to non stop stir and scrape. do use flat steel spatula (palta) as this helps in scraping the besan mixture.Even after leaving the sides of the pan, Continue to cook till you see ghee releasing from the sides. When the burfi mixture looks like one molten mass with some bubbles and ghee releasing from the sides, then switch off the flame. If you cook too much, then the burfi will become hard and crumbly.Setting the 7 cups sweetImmediately pour the entire burfi mixture in the greased tray or pan.With a spatula or spoon, even and smoothen the top.Let the burfi become warm or cool down at room temperature.Then cut with a sharp knife and serve 7 cup burfi or store in an air-tight box. You can keep the barfi at room temperature in a cold season for 1 day or you can refrigerate.Offer the 7 cup burfi to the deities or serve as a sweet.",NutritionCalories: 512kcal | Carbohydrates: 59g | Protein: 3g | Fat: 30g | Saturated Fat: 19g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 7g | Cholesterol: 69mg | Sodium: 22mg | Potassium: 170mg | Fiber: 2g | Sugar: 53g | Vitamin A: 855IU | Vitamin C: 0.2mg | Calcium: 39mg | Iron: 0.8mg
Aam Ka Murabba | Mango Murabba | Indian Mango Preserve,https://www.vegrecipesofindia.com/wp-content/uploads/2015/06/aam-ka-murabba-recipe-1-280x280.jpg,"Aam Ka Murabba or Mango Murabba is a sweet and tangy, fragrant raw mango preserve. You could also term it as an Indian Mango Jam or  Indian Mango Preserve. The recipe is vegan and gluten-free.",10minutes,15minutes,25minutes,450.0,grams,Side Dish,North Indian,"Gluten Free, Vegan","▢ 2  mangoes unripe, green and large – 400 grams or 250 grams grated or shredded mangoes or 1.25 cups tightly packed grated mangoes▢ 1.5 cups raw sugar – 300 to 350 grams, can use white sugar or jaggery, add as required▢ 4 to 5 green cardamoms – crushed finely in a mortar-pestle▢ 1 to 2 cloves – crushed finely in a mortar-pestle▢ 12 to 15 saffron strands – crushed, optional","PreparationRinse and wipe dry the mangoes. Then, peel them.Grate or shred the mangoes.Powder cardamoms and cloves in a mortar-pestle. Keep aside.Making aam ka murabbaIn a pan, take the grated or shredded mangoes and sugar. Addition of sugar depends upon the tartness of the mangoes and your taste.Switch on the heat. Stir the mango-sugar mixture very well.On low heat, cook the mango-sugar mixture. Initially the sugar will melt and consistency will be watery.Stir often so that the sugar does not crystallize and keep on simmering the mixture.Keep on stirring and cooking till you get a 2 thread consistency. Turn off the heat. If you cook more then the murabba gets a thick, sticky and hard consistency.You can also cook until you get a 1 string consistency. Add the powdered cardamom and clove mixture and saffron (crushed). Mix very well.Cool it completely and then spoon in a clean sterilized glass jar or bottle.Serve Aam Ka Murabba or Mango Murabba as a side condiment with a North Indian meal or with roti or paratha.",NutritionCalories: 70kcal | Carbohydrates: 18g | Protein: 1g | Fat: 1g | Saturated Fat: 1g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Sodium: 1mg | Potassium: 42mg | Fiber: 1g | Sugar: 17g | Vitamin A: 213IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin C: 7mg | Vitamin E: 1mg | Vitamin K: 1µg | Calcium: 5mg | Vitamin B9 (Folate): 9µg | Iron: 1mg | Magnesium: 3mg | Phosphorus: 4mg | Zinc: 1mg
Aam Panna Recipe – With Boiled and Roasted Mangoes,https://www.vegrecipesofindia.com/wp-content/uploads/2022/05/aam-panna-3-280x280.jpg,"Aam ka panna is a cooling Indian summer drink made with unripe green tart mangoes. It is slightly sour and sweet to taste and is flavored with cardamom, cumin and black salt. This recipe post shows the method of making both aam panna syrup concentrate and the drink using the method of boiling as well as roasting mangoes.",15minutes,5minutes,20minutes,12.0,Aam Panna Drink,Beverages,Indian,Vegan,"For boiled aam panna – Recipe 1▢ 2  mangoes – 400 grams, medium-sized unripe green mangoes ▢ 2 cups water – for pressure cooking▢ 1.5 cups sugar or jaggery powder – 325 grams sugar or add as required▢ 1 teaspoon cardamom powder▢ 1 teaspoon  Roasted Cumin Powder▢ ¼  teaspoon black pepper powder or crushed black pepper – optional▢ 2 teaspoons black salt – add regular white salt, pink salt or edible rock salt instead","Making Boiled Aam Panna – Recipe 1Rinse the raw mangoes in water a couple of times. Place the mangoes in a 2-litre pressure cooker. Add 2 cups water.Pressure cook for 2 whistles on medium flame or for about 8 to 10 minutes.When pressure settles down on its own, then remove the lid. The mangoes would have become soft. The peels would have also separated  if the mangoes are cooked well.Gently pour the contents of the cooker in a fine strainer. Place a bowl underneath. Do not discard the water. Use this water to make aam panna drink.Let the mangoes cool at room temperature. Place them in a bowl. After cooking the raw mangoes, the peel comes off easily.Making syrup – Recipe 1With a sharp-edged spoon or a knife scrape and remove the cooked mango pulp directly in the bowl. Scrape from the peels also.Collect the cooked mango pulp in a bowl. Discard the peels.As a rule always add double the amount of jaggery or sugar to the mango pulp. The ratio is 1:2 for mango pulp and jaggery respectively. So before adding sugar or jaggery measure the amount of mango pulp in a measuring cup. If you get 1 cup of mango pulp, then add 2 cups of sugar. I got about ¾ cup of mango pulp and so added 1.5 cups sugar.Now add the required amount of sugar or jaggery.Add cardamom powder, roasted cumin powder, black salt, crushed black pepper or pepper powder. Mix very well. You could also use a blender or hand churner to blend the aam panna syrup.Pour the aam panna syrup in a clean glass bottle or jar. Store the bottle or jar in the fridge.Making panna drink – Recipe 1For making aam panna drink, add 2 to 3 tablespoons of aam panna syrup in a glass.Add the water in which the mangoes were cooked or chilled water. You can also add water at room temperature. Stir and mix well. Serve aam panna. You can also add some ice cubes while serving. You can even garnish with some mint leaves or coriander leaves or lemon wedges. Making Roasted Aam Panna – Recipe 2Rinse and then wipe dry the mangoes. Keep a roti rack or papad rack on a gas stove top. Place the mangoes on it.Keep on turning them at intervals so that they are charred and cooked evenly.The peels should get charred. To check doneness, slid a knife on one of the sides and the knife should slid easily without any resistance.Keep the roasted mangoes aside and let them cool at room temperature. You can also keep them in water for some minutes and then peel them. Once they cool down, then remove the charred peels. Remove the peels well. Slice the mangoes.Add the sliced mango pulp to a blender or mixer jar. Then add mint leaves, roasted cumin powder, black salt and sugar.For aam panna, the sugar is added twice of the mango pulp. I had got slightly more than ½ cup of mango pulp. Thus I added 1 cup sugar. Depending on the type and quality of mangoes the amount of pulp will vary. So do measure the pulp before you add sugar. So if you get lets say, 1 cup mango pulp, then add 2 cups sugar. Without adding any water, blend till smooth.The aam panna syrup should have a smooth consistency. If there are fibers in the pulp, then do strain it. Remove in a clean small jar or bowl. Cover and refrigerate.Preparing Roasted Aam Panna Drink – Recipe 2Add 2 to 3 tablespoons of the aam panna syrup in a glass. Then add water and mix very well. Add ice cubes if you like.Serve aam panna immediately. You can garnish with mint leaves if you want.",NutritionCalories: 118kcal | Carbohydrates: 30g | Protein: 1g | Fat: 1g | Saturated Fat: 1g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Sodium: 390mg | Potassium: 64mg | Fiber: 1g | Sugar: 30g | Vitamin A: 376IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin C: 13mg | Vitamin E: 1mg | Vitamin K: 2µg | Calcium: 8mg | Vitamin B9 (Folate): 15µg | Iron: 1mg | Magnesium: 5mg | Phosphorus: 6mg | Zinc: 1mg
Aamras Recipe,https://www.vegrecipesofindia.com/wp-content/uploads/2010/05/aamras-recipe-1-280x280.jpg,Aamrasis a popular and traditional mango delicacy from the Western Indian states of Maharashtra and Gujarat. Enjoy it as it is or with poori (Indian fried bread).,15minutes,0minutes,15minutes,4.0,,Desserts,"Gujarati, Maharashtrian","Gluten Free, Vegan","▢ 400 grams mangoes or 2 large alphonso or 3 to 4 kesar mangoes▢ ½ teaspoon cardamom powder (ground cardamom)▢ 1 pinch saffron strands –  optional▢ 2 to 3 teaspoons raw sugar or jaggery, as required – optional▢ ¼ teaspoon dry ginger powder (ground ginger) – optional▢ water or milk as required – optional","Making aamrasRinse the alphonso mangoes thoroughly in clean water. Drain all the water and dry them with a clean kitchen towel.Peel and chop the mangoes.Add the chopped mangoes to a blender. You can also add some sugar or any other sweetener of choice if the mangoes are slightly tangy or sour.Blend to a smooth pulp. Transfer the mango pulp to a bowl. Add cardamom powder and crushed saffron strands.Mix very well. To thin the consistency slightly, add some milk (dairy or vegan) or water.Pour in a container. Cover the container and chill in the refrigerator for 30 minutes to an hour. Or you can serve straightaway in small bowls.Serving suggestionsServe aamras with Poori. You can also serve it with Roti for a healthier option. You could even add your choice of nuts and dry fruits to your aamras. If adding cashews, then fry or roast cashews until golden and mix it with the aamras.In summers we serve aamras cold or chilled. To make a cold aamras, either refrigerate the mangoes for a couple of hours or add a few ice cubes while blending the mangoes. ",NutritionCalories: 61kcal | Carbohydrates: 15g | Protein: 1g | Fat: 1g | Saturated Fat: 1g | Sodium: 1mg | Potassium: 173mg | Fiber: 2g | Sugar: 14g | Vitamin A: 1082IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin C: 36mg | Vitamin E: 1mg | Vitamin K: 4µg | Calcium: 12mg | Vitamin B9 (Folate): 43µg | Iron: 1mg | Magnesium: 11mg | Phosphorus: 15mg | Zinc: 1mg
Achari Paneer Recipe (With Gravy),https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/achari-paneer-3-280x280.jpg,"Achari Paneer is a creamy as well as robust flavored cottage cheese curry made with achari masala or pickle spices, yogurt and paneer. If you love pickles, you will surely like this delicious, flavorful, tangy and spiced Achari Paneer gravy.",15minutes,30minutes,45minutes,4.0,,Main Course,North Indian,Vegetarian,Pickling spices▢ 1 teaspoon fennel seeds▢ 1 teaspoon cumin seeds▢ 1 teaspoon mustard seeds▢ ½ teaspoon nigella seeds (kalonji)▢ ¼ teaspoon fenugreek seeds (methi dana),"Roasting Pickle SpicesFirst take the achari or pickling spices in a pan – fennel seeds, cumin seeds, mustard seeds, nigella seeds and fenugreek seeds.Heat the pan and on a low flame roast the spices till they are fragrant. Don’t brown them.Once cooled, add the spices in a small dry grinder or spice grinder and grind to a semi fine powder.Remove the achari masala powder and keep aside in a bowl.Making Masala BaseIn the same grinder, add 10 to 12 cashews.Grind to a fine powder. If oil releases while grinding then its fine.In a bowl, take fresh whole milk curd/yogurt and whisk it till smooth. Use fresh curd and not sour curd.Heat mustard oil or sunflower oil or ghee in a pan.On a low flame, add 2 dry red chilies and a generous pinch of asafoetida. Saute for some seconds till the red chilies change color.Then add ginger-green chili paste. Stir and saute till the raw aroma of ginger goes away.Then add the chopped tomatoes and stir.Add turmeric powder, red chili powder, coriander powder and cumin powder (optional).Again stir very well and saute the tomatoes till the tomatoes soften completely and become pulpy. You should also see oil releasing from the sides.Now add the cashew powder. If using store brough cashew powder, then add 2 tablespoons cashew powder. Do check the shelf life of store brought cashew powder before adding.On a low to medium flame, stir and saute the mixture for 2 minutes after adding cashew powder.Reserve 1 teaspoon of the ground achari masala and add the rest. Stir very well.Add 1 tablespoon besan. We are adding besan so that the curd does not curdle. You can swap besan (gram flour) with chickpea flour.Stir the besan very well and incorporate it into the rest of the masala.Making Achari Paneer GravyKeep the flame on a low and add the beaten curd.As soon as you add the curd, begin to stir the mixture quickly and fast. Stirring quickly, incorporate the curd well into the rest of the masala.Add salt as per taste.Simmer for 2 to 3 minutes on a low flame.Add the paneer cubes. 200 or 250 grams paneer chopped in cubes.Cook the paneer cubes for about 20 to 30 seconds and switch off the heat. Don't cook for more time as then paneer cubes may lose their softness and will become hard.Then add light cream or low fat cream. Also add crushed kasuri methi to the gravy. Gently stir very well.Switch off the flame and add chopped coriander leaves and chopped mint leave. Stir gently again.While serving sprinkle the reserved achari masala from top and garnish with a coriander or mint sprig. Serve achari paneer masala with tandoori roti, chapati, rumali roti, plain paratha or naan.",NutritionCalories: 321kcal | Carbohydrates: 9g | Protein: 11g | Fat: 27g | Saturated Fat: 12g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Cholesterol: 53mg | Sodium: 345mg | Potassium: 258mg | Fiber: 1g | Sugar: 4g | Vitamin A: 589IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 5mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 5µg | Calcium: 344mg | Vitamin B9 (Folate): 12µg | Iron: 2mg | Magnesium: 31mg | Phosphorus: 109mg | Zinc: 1mg
Achari Paneer Tikka,https://www.vegrecipesofindia.com/wp-content/uploads/2014/10/achari-paneer-tikka-recipe-1-280x280.jpg,Achari Paneer Tikka is a popular starter dish served in restaurants. It is a variation of the classic paneer tikka where the cottage cheese cubes are flavored with a marination of pickling spices.,1hour,30minutes,1hour,4.0,,"Snacks, Starters",North Indian,Vegetarian,For the pickle masala or achari masala▢ 2 teaspoon split yellow mustard (rai ka kuria) or 1.5 teaspoon whole mustard seeds▢ 2 teaspoon fennel seeds▢ ½ teaspoon nigella seeds (kalonji)▢ ¼ teaspoon fenugreek seeds (methi dana)▢ 2 to 3 dry red chilies – deseeded and broken into small pieces▢ as substitute for above you can also add 2 tablespoon of ready made dry achar masala or pickle mix,"Preparing the achari masala or pickle mixFirst take all the spices namely – mustard seeds (i used split mustard seeds), fenugreek seeds, fennel seeds, nigella seeds and dry red chilies in a dry grinder or coffee grinder or blender.Grind all these spices to a fine powder. A slight semi fine texture is also ok. This is the dry achari masala. Keep aside.Making MarinationIn a bowl take hung yogurt or thick yogurt and whisk till smooth. To make hung yogurt, place the yogurt in a muslin cloth or a cotton napkin. Tie tightly and place on a strainer, which is kept over a bowl. Keep in the fridge till all the whey gets collected in the bowl. This takes about 4 to 5 hours. You can also keep overnight. Here I used thick yogurt.Add the powdered achari masala, red chili powder, gram flour/corn starch, ginger-garlic paste, asafoetida, coriander powder, red chili powder, dry mango powder or lime juice, crushed dry fenugreek leaves (kasuri methi), salt and mustard oil. You can also use ready made achar masala or pickle masala. Add about 2 tbsp of dry achar masala in the marinade.Mix everything into the beaten curd. Check the taste and add more salt or other seasoning if required.Add the bell peppers, onions and paneer cubes.Gently mix the paneer cubes and veggies till they are evenly coated with the achari marinade.Cover and refrigerate for about 1 hour or overnight. You can also keep for any number of hours.Once you remove from the the marinated cottage cheese cubes and veggies from the fridge, then gently mix again.Grilling method for making achari paneer tikkaPreheat your oven to 200 degrees celsius/390 degrees fahrenheit for at least 10 minutes before you grill the tikkas. For a regular oven, keep both the top and bottom elements on and keep the pan in the center or top rack. For a microwave oven use the convection mode and preheat at 180 degrees celsius/350 degrees fahrenheit.Thread the veggies and paneer cubes on a bamboo skewer or metal skewer. You can alsoUse toothpicks.Cover a baking tray with an aluminium foil. Avoid butter paper like I have done as the paneer sticks to the butter paper once grilled.Brush the marinated paneer with ½ to 1 teaspoon of mustard oil or any other oil.Place the tray in a the top rack or middle rack of a preheated oven. Keep both the top and bottom heating elements on. Grill at 200 degrees celsius for 15 to 20 minutes (depending on the oven temperatures). I have a slow oven, so it took 25 mins for the paneer cubes to be grilled and browned at the edges. Just keep an eye when the paneer is getting grilled in the oven. For a microwave oven in the convection mode, use 180 degrees celsius/350 degrees fahrenheit for grilling the tikka.Pan frying or stove top methodHeat about 2 to 3 teaspoon oil in a non stick pan. You can add more oil if you want.Place the threaded paneer tikka with the skewers on the pan. You can also fry the marinated paneer cubes and veggies without the skewers.Gently rotate the skewers, when one side is crisp and browned. Keep on rotating till all the sides are browned. Add more oil if required, while frying.Fry till all the sides are golden. Pan fry on a low flame as the marinade gets browned quickly. Keep the fried achari paneer tikka aside. Remember not to overcook the paneer cubes as then they can become hard or chewy.Serve with onion slices, lemon wedges and mint yogurt chutney. Sprinkle chaat masala and lemon juice on the achari paneer tikka while serving. You can also garnish with chopped coriander or mint leaves.",NutritionCalories: 278kcal | Carbohydrates: 18g | Protein: 14g | Fat: 18g | Saturated Fat: 10g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Trans Fat: 1g | Cholesterol: 43mg | Sodium: 358mg | Potassium: 363mg | Fiber: 4g | Sugar: 6g | Vitamin A: 529IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 48mg | Vitamin E: 1mg | Vitamin K: 7µg | Calcium: 381mg | Vitamin B9 (Folate): 40µg | Iron: 1mg | Magnesium: 31mg | Phosphorus: 96mg | Zinc: 1mg
Adai Recipe | How to make Adai Dosa,https://www.vegrecipesofindia.com/wp-content/uploads/2018/09/adai-recipe-2-280x280.jpg,"Adai or Adai Dosa are a delicious protein rich, rice and lentils crepes from the South Indian cuisine. Adai recipe is made by soaking rice and lentils which are then ground to a semi-coarse batter. Adai batter is not fermented.",2hours,30minutes,2hours,4.0,,"Breakfast, Main Course, Snacks","South Indian, Tamil Nadu",Vegan,"For soaking▢ ½  cup  regular rice  or idli rice or parboiled rice▢ ¼  cup  chana dal (split and husked bengal gram)▢ ¼  cup  urad dal (split and husked black gram)▢ ¼  cup  tuvar dal (tur dal, arhar dal, pigeon pea lentils)▢ 2  dry red chilies – byadagi or kashmiri, seeds removed▢ 1.5  cups  water  – for soaking","Soaking rice and lentilsRinse and then soak regular rice or idli rice, chana dal, urad dal and tuvar dal and dry red chilies (byadagi or kashmiri) in 1.5 cups water for 2 to 3 hours. You can also keep overnight.Making adai batterLater drain all the water and add the rice, lentils and red chilies in a grinder jar.Also add chopped ginger and hing. At this step you can also add 1 green chili and ½ teaspoon cumin seeds.Add ⅔ to ¾ cup water and grind to a semi coarse medium-thick batter. Do not make the batter fine.Take all the batter in a mixing bowl. Cover and keep aside for minimum 20 minutes or till 1 to 2 hours.Now add finely chopped onions (or pearl onions or shallots), chopped coriander leaves and chopped curry leave. You can also add grated coconut.Add salt as required. Mix very well.Making adaiHeat a cast iron skillet or tawa and spread a bit of oil on it.Take a ladle full of the batter and pour the batter on tawa. quickly spread the batter to a round circle.With a back of a spoon make a small dent or hole in the center. This helps in cooking the adai evenly.Drizzle some oil in the center as well as on the sides.Cook on medium-low to medium heat till the adai is crisp and golden. Then flip them. You can also cover it with a lid and then cook.Cook the adai on the second side till it is cooked well and has golden brown spots. Flip and then serve. Make adai in batches this way.You can serve protein-rich adai with some white butter, jaggery, idli-dosa podi or avial. You can also pair it with coconut chutney or tomato chutney or tomato-onion chutney.",NutritionCalories: 298kcal | Carbohydrates: 38g | Protein: 8g | Fat: 13g | Saturated Fat: 3g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 9g | Sodium: 340mg | Potassium: 123mg | Fiber: 8g | Sugar: 2g | Vitamin A: 325IU | Vitamin B1 (Thiamine): 0.04mg | Vitamin B2 (Riboflavin): 0.03mg | Vitamin B3 (Niacin): 57mg | Vitamin B6: 0.1mg | Vitamin C: 102mg | Vitamin E: 4mg | Vitamin K: 4µg | Calcium: 72mg | Vitamin B9 (Folate): 597µg | Iron: 2mg | Magnesium: 18mg | Phosphorus: 53mg | Zinc: 0.5mg
Ajwain Paratha,https://www.vegrecipesofindia.com/wp-content/uploads/2013/02/ajwain-paratha-recipe-1-280x280.jpg,"Ajwain paratha is a crisp, flaky, layered unleavened whole wheat flatbread stuffed with ajwain (carom seeds). They are usually made for breakfast or lunch.",20minutes,30minutes,50minutes,10.0,Ajwain Paratha,Breakfast,North Indian,Vegetarian,For the dough▢ 2 cups whole wheat flour▢ 1 to 2 teaspoons oil or ghee (clarified butter)▢ salt  as required▢ water  as required for kneading the dough,Mix the salt with the flour. Add the oil/ghee and some water.Knead into a smooth and soft dough. Add some more water if required.Keep the dough covered for 20 to 30 minutes.Take a medium sized ball from the dough.Roll it into a small disc/round of about 4 inches in diameter.Apply or brush oil or ghee on the surface.Sprinkle ¼ teaspoon or less of the ajwain seeds along with 1 to 2 pinches of salt.Fold the dough as shown in the step by step photos above applying ghee or oil.Roll into a paratha of approx 6 to 7 inches diameter.On a hot tawa (skillet or griddle) place the rolled paratha. The tawa should be hot and not at a low temperature. Cooking parathas at a low flame will harden them. Keep the flame to medium-high to high.Fry on a hot tava or griddle with a teaspoon of oil/ghee or more as required till both sides become well browned.You can flip the paratha a couple of times till you see brown spots and the paratha is cooked evenly. Also make sure that the paratha edges are cooked well. If not then press them with a spatula for even cooking. Make all parathas this way.You can serve them hot or stack them in a roti basket to be served later.Serve these ajwain parathas hot or warm with some lemon pickle or mango pickle or raita or with a cup of hot tea.Ajwain paratha can also be served with a side indian veggie dish.,NutritionServing: 3g | Calories: 136kcal | Carbohydrates: 17g | Protein: 3g | Fat: 6g | Saturated Fat: 3g | Monounsaturated Fat: 1g | Cholesterol: 13mg | Potassium: 87mg | Fiber: 3g | Vitamin A: 160IU | Calcium: 8mg | Iron: 0.9mg
Akkha Masoor Recipe (Kolhapuri style),https://www.vegrecipesofindia.com/wp-content/uploads/2016/01/akkha-masoor-recipe7-280x280.jpg,"This Akkha Masoor recipe is a spiced whole brown lentils or masoor dal preparation from the fiery and spicy Kolhapuri cuisine. Best paired with some steamed rice or flatbreads like roti, chapati or paratha.",15minutes,25minutes,40minutes,3.0,,Main Course,"Kolhapuri, Maharashtrian","Gluten Free, Vegan",For pressure cooking lentils▢ ½ cup whole masoor dal (whole red lentils or brown lentils)▢ 1 cup water – for pressure cooking,"Pressure cooking lentilsRinse the whole masoor dal or brown lentils very well in water a couple of times.Then take the rinsed masoor lentils in a 2 litre pressure cooker along with 1 cup water. Pressure cook on medium heat for 10 to 11 minutes or for 4 to 5 whistles.When the pressure drops down on its own, then only remove the lid and check the lentils. The lentils should be cooked well yet separate. They should not be mushy. If you get a slight bite in them, then pressure cook for 1 to 2 whistles more.Roasting and grindingWhen the lentils are cooking, heat up a small pan and add the white sesame seeds.Roast the sesame seeds on a low heat till they change color and start to crackle.Then add the desiccated coconut.On a low heat, with a continuous stir, roast both the ingredients, till the coconut becomes golden. Remove and keep aside.Once this mixture becomes warm or cools down, add them to a dry grinder.Without adding water, grind to a fine mixture. Keep aside.Making akkha masoorHeat the oil in a pan and add the finely chopped onions.Stir and saute on a low to medium heat till the onions start to turn light golden.Then add ginger-garlic paste. Stir and sauté for a few seconds till the raw aroma of ginger-garlic goes away.Next add chopped tomatoes.Stir and sauté the tomatoes on medium heat till they soften and become pulpy.Now add turmeric powder, cumin powder, garam masala powder, red chili powder and coriander powder.Stir and mix well.Then add the 2 tablespoons of chopped coriander leaves. Mix again.Add the ground sesame seeds and desiccated coconut mixture.Mix and stir again.Add the cooked masoor dal along with ½ cup of the stock in which the masoor dal was pressure cooked. If the stock is less, then add overall a half cup of the stock + water. You can also add only ½ cup water.Season with salt. Stir and mix well.Simmer on a low to medium heat without a lid for 5 to 6 minutes.When you see oil specks on floating on the top, the curry is done. For a dry curry, add less water and cook till all the water evaporates.Garnish with some chopped coriander leaves and serve kolhapuri style Akkha Masoor hot with some soft chapatis, bajra or jowar rotis or steamed rice. You can also have akkha masoor with bread or pav.",NutritionCalories: 272kcal | Carbohydrates: 27g | Protein: 10g | Fat: 15g | Saturated Fat: 5g | Polyunsaturated Fat: 4g | Monounsaturated Fat: 5g | Sodium: 220mg | Potassium: 523mg | Fiber: 12g | Sugar: 4g | Vitamin A: 586IU | Vitamin B1 (Thiamine): 0.3mg | Vitamin B2 (Riboflavin): 0.1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 0.3mg | Vitamin C: 10mg | Vitamin E: 2mg | Vitamin K: 8µg | Calcium: 68mg | Vitamin B9 (Folate): 170µg | Iron: 4mg | Magnesium: 65mg | Phosphorus: 196mg | Zinc: 2mg
